code,time,price,vol,type,order_type,order_no
000584,93515390,6.45,4,2,1,869237
000584,93515580,6.43,10,2,1,869619
000584,93517010,6.38,17,2,1,871962
000584,93517650,6.3,20,2,1,872876
000584,93518710,6.45,4,2,1,874796
000584,93519640,6.44,27,2,1,876440
000584,93519660,6.43,70,2,2,876524
000584,93520460,6.45,3,2,1,878063
000584,93521140,6.44,109,2,2,879110
000584,93521930,6.44,10,2,1,880842
000584,93522250,6.47,21,2,2,881591
000584,93523190,6.99,1,2,1,883115
000584,93524430,6.99,4,2,2,885132
000584,93526160,6.45,35,2,1,887763
000584,93526230,6.43,50,2,1,887844
000584,93526270,6.49,10,2,2,887937
000584,93529190,6.48,21,2,1,893029
000584,93530620,6.45,20,2,2,895475
000584,93531980,6.45,10,2,2,898277
000584,93532740,6.44,47,2,2,899682
000584,93533180,6.45,2,2,2,900385
000584,93535930,6.85,13,2,2,905939
000584,93536800,6.44,10,2,2,907746
000584,93539970,6.45,50,2,2,914249
000584,93542860,6.75,50,2,2,919233
000584,93543080,6.47,10,2,2,919589
000584,93543540,6.46,10,2,2,920242
000584,93543930,6.38,157,2,2,920774
000584,93543950,6.44,50,2,2,920811
000584,93544450,6.43,10,2,2,921667
000584,93545020,6.44,116,2,2,922448
000584,93545410,6.42,1,2,2,923151
000584,93545960,6.44,80,2,2,924322
000584,93547780,6.45,30,2,2,927214
000584,93548050,6.99,12,2,2,927631
000584,93548150,6.52,4,2,2,927752
000584,93548700,6.44,10,2,1,928880
000584,93550720,6.44,50,2,2,932583
000584,93551320,6.42,2,2,1,933446
000584,93551320,6.42,1,2,1,933447
000584,93553060,6.43,1,2,2,936650
000584,93553160,6.97,20,2,2,936838
000584,93553170,6.43,1,2,2,936857
000584,93554330,6.43,200,2,2,938717
000584,93554590,6.89,6,2,2,939290
000584,93555910,6.56,2,2,2,941860
000584,93557250,6.42,1,2,2,943770
000584,93557290,6.42,1,2,2,943859
000584,93557840,6.42,2,2,2,945103
000584,93557840,6.42,1,2,2,945107
000584,93557890,6.42,4,2,2,945232
000584,93557910,6.42,4,2,2,945293
000584,93558520,6.42,1,2,2,946286
000584,93559070,6.42,2,2,2,947194
000584,93559190,6.43,1,2,2,947344
000584,93559220,6.43,28,2,2,947372
000584,93559220,6.42,12,2,2,947392
000584,93559330,6.42,13,2,2,947515
000584,93559330,6.42,24,2,2,947538
000584,93559340,6.42,9,2,2,947558
000584,93600340,6.41,1,2,2,948945
000584,93600490,6.36,16,2,1,949206
000584,93601250,6.41,1,2,2,950682
000584,93601530,6.41,1,2,2,951141
000584,93602190,6.99,50,2,2,952047
000584,93603330,6.43,13,2,2,953699
000584,93603800,6.46,33,2,2,954458
000584,93604800,6.59,2,2,2,956139
000584,93605030,6.43,3,2,2,956502
000584,93605560,6.42,1,2,2,957254
000584,93606600,6.42,1,2,1,959067
000584,93607250,6.42,8,2,1,960349
000584,93608080,6.42,20,2,2,962008
000584,93608890,6.98,66,2,2,963192
000584,93609260,6.42,11,2,2,963776
000584,93609410,6.39,45,2,1,964143
000584,93611210,6.99,30,2,2,967307
000584,93611810,6.52,5,2,2,968126
